Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Forex,EURGBP,EUR/GBP,0.85619,GBP,-0.04%,N/A,N/A,N/A,N/A,N/A,-0.08%,N/A,-1.24%,-1.77%,-1.82%,N/A,1.12%,-0.89%,42.65,45.30,N/A,42.65,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,GBPAUD,GBP/AUD,1.90912,AUD,0.01%,N/A,N/A,N/A,N/A,N/A,-0.51%,N/A,2.09%,-0.15%,-5.37%,N/A,1.49%,13.08%,44.30,44.53,N/A,44.30,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,GBPCHF,GBP/CHF,1.09097,CHF,0.09%,N/A,N/A,N/A,N/A,N/A,N/A,0.70%,3.27%,3.85%,2.25%,0.50%,-14.62%,N/A,53.97,N/A,N/A,53.97,58.32,59.83,59.87,59.87,TRADEABLE,CURRENCIES
Forex,USDTRY,USD/TRY,47.71359,TRY,0.40%,N/A,N/A,N/A,N/A,N/A,0.52%,N/A,5.38%,9.52%,11.29%,N/A,453.56%,1513.09%,60.64,61.85,N/A,60.64,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,AUDNZD,AUD/NZD,1.20006,NZD,0.17%,N/A,N/A,N/A,N/A,N/A,0.61%,-0.46%,-1.31%,1.88%,3.46%,N/A,14.65%,13.02%,58.84,57.77,N/A,58.83,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,GBPCAD,GBP/CAD,1.88319,CAD,0.13%,N/A,N/A,N/A,N/A,N/A,N/A,-0.67%,1.58%,1.84%,N/A,1.86%,8.58%,N/A,51.76,N/A,N/A,51.75,44.79,48.98,49.00,49.00,TRADEABLE,CURRENCIES
Forex,CADJPY,CAD/JPY,113.532,JPY,0.33%,N/A,N/A,N/A,N/A,N/A,N/A,-0.66%,-1.37%,N/A,N/A,5.75%,28.67%,N/A,66.31,N/A,N/A,66.32,48.18,43.98,43.97,43.97,TRADEABLE,CURRENCIES
Forex,EURCAD,EUR/CAD,1.61255,CAD,0.09%,N/A,N/A,N/A,N/A,N/A,-0.23%,-0.16%,N/A,N/A,0.05%,0.67%,N/A,11.49%,46.74,42.52,N/A,46.73,47.19,50.01,50.04,50.04,TRADEABLE,CURRENCIES
Forex,EURTRY,EUR/TRY,55.17593,TRY,0.30%,N/A,N/A,N/A,N/A,N/A,1.01%,3.03%,3.71%,6.45%,N/A,16.45%,444.16%,N/A,60.33,N/A,N/A,60.33,71.71,71.76,71.84,71.84,TRADEABLE,CURRENCIES
Forex,USDPLN,USD/PLN,3.71946,PLN,0.03%,N/A,N/A,N/A,N/A,N/A,-0.75%,N/A,2.63%,4.78%,N/A,2.12%,-4.55%,N/A,42.82,39.90,N/A,42.83,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,GBPNZD,GBP/NZD,2.29116,NZD,0.11%,N/A,N/A,N/A,N/A,N/A,0.10%,-1.45%,0.75%,N/A,-2.09%,1.36%,N/A,27.66%,50.31,50.46,N/A,50.31,37.32,42.09,42.00,42.00,TRADEABLE,CURRENCIES
Forex,NZDCAD,NZD/CAD,0.82183,CAD,0.07%,N/A,N/A,N/A,N/A,N/A,-0.25%,0.79%,N/A,N/A,4.08%,0.49%,N/A,-11.91%,N/A,45.70,N/A,N/A,54.77,55.15,55.23,55.23,TRADEABLE,CURRENCIES
Forex,AUDCHF,AUD/CHF,0.57146,CHF,0.09%,N/A,N/A,N/A,N/A,N/A,0.78%,N/A,1.17%,4.01%,8.05%,N/A,-15.86%,-23.25%,58.26,61.77,N/A,58.26,64.56,60.87,61.03,61.03,TRADEABLE,CURRENCIES
Forex,EURNZD,EUR/NZD,1.96186,NZD,0.11%,N/A,N/A,N/A,N/A,N/A,0.02%,-0.94%,-0.50%,-0.07%,-3.87%,N/A,N/A,26.48%,N/A,48.04,N/A,N/A,41.65,43.64,43.56,43.56,TRADEABLE,CURRENCIES
Forex,USDNOK,USD/NOK,9.5097,NOK,0.15%,N/A,N/A,N/A,N/A,N/A,-0.31%,-2.78%,3.55%,N/A,N/A,-7.49%,7.46%,N/A,51.20,N/A,N/A,51.20,34.64,40.84,40.70,40.70,TRADEABLE,CURRENCIES
